AGEIMM,BedRm,CMA,CONDO,COW,DIST,GENSTAT,HHSIZE,IMMCAT5,IncTax,MODE,MTNEn,MTNFr,NAICS,NOC16,NOCS,PKIDS,POWST,PR,PRIHM,PWDUR,PWLEAVE,ROOMS,Sex,SHELCO,Subsidy,Tenur,VisMin,Wages,WKSWRK,aboriginal,age,STEM,YrEd,PrMinWage_V,PrMinWage_Vstat,PartTime,Married
9,1,835,1,4,7,1,2,21,99999999,2,0,0,8,6,2,0,4,48,0,37,14,3,1,1200,0,2,1,2000,44,0,47,0,18,11.2,11.2,0,1
0,3,933,0,1,7,3,5,1,3000,2,1,0,13,21,7,1,4,59,0,22,7,7,0,1300,0,2,0,28000,50.5,0,37,0,14,10.45,10.45,0,1
0,2,462,0,1,22,2,3,1,6000,2,1,0,12,10,3,1,6,24,0,52,6,4,1,1300,0,2,1,36000,50.5,0,27,1,13,10.75,10.75,0,1
9,2,535,0,1,12,1,4,21,12000,6,0,0,10,5,2,1,4,35,1,70,8,3,1,1300,0,2,1,80000,50.5,0,52,0,14,11.25,11.25,0,1
0,2,535,0,1,2,2,4,1,99999999,6,1,0,7,22,7,1,4,35,1,7,7,4,0,1000,0,2,0,11000,50.5,0,42,0,9,11.25,11.25,1,1
0,3,999,0,1,17,4,4,1,5000,2,1,0,4,6,2,1,5,48,0,37,7,10,0,1100,0,2,0,37000,50.5,0,37,0,14,11.2,11.2,0,1
6,3,933,0,1,7,1,4,21,4000,2,0,0,4,24,8,0,4,59,1,22,6,5,1,1100,0,2,1,31000,50.5,0,32,0,12,10.45,10.45,0,1
0,1,535,1,1,2,2,3,1,9000,7,0,0,15,12,4,0,4,35,1,22,7,3,1,1600,0,2,1,66000,50.5,0,27,1,17,11.25,11.25,0,1
0,2,537,0,1,2,4,2,1,4000,2,1,0,12,10,3,0,4,35,1,22,8,4,0,1300,0,2,0,33000,50.5,0,27,0,16,11.25,11.25,0,1
0,3,539,0,1,27,3,3,1,99999999,2,1,0,7,22,7,1,5,35,0,37,7,6,0,1300,0,2,0,2000,5,0,22,0,14,11.25,11.25,1,1
0,2,462,0,1,2,4,4,1,6000,2,0,1,16,6,2,1,4,24,0,22,9,5,0,1500,0,2,0,38000,50.5,0,37,0,18,10.75,10.75,0,1
0,3,999,0,1,17,4,3,1,4000,2,1,0,17,21,7,1,5,48,0,22,14,8,0,1700,0,2,0,33000,44,0,22,0,12,11.2,11.2,1,0
7,2,933,0,1,12,1,3,21,99999999,2,0,0,17,22,7,1,5,59,0,37,8,3,0,600,0,2,1,1,5,0,37,0,18,10.45,10.45,1,1
0,4,999,0,1,2,4,2,1,6000,2,1,0,7,88,88,1,4,48,0,7,6,8,0,1900,0,2,0,32000,24.5,1,67,0,13,11.2,11.2,0,0
6,2,999,0,1,35,1,2,22,99999999,2,0,0,17,21,7,0,5,46,0,22,6,5,0,1000,0,2,0,1,34.5,0,52,0,9,11,11,1,1
0,4,535,0,1,2,3,3,1,99999999,2,1,0,6,18,7,1,4,35,0,70,9,5,0,2000,0,2,0,6000,14.5,0,22,0,14,11.25,11.25,0,0
0,3,421,0,1,2,4,4,1,5000,2,0,1,6,6,2,1,4,24,0,7,8,11,0,900,0,2,0,53000,44,0,47,0,16,10.75,10.75,0,1
0,2,421,0,1,7,4,2,1,6000,2,0,1,14,7,2,0,5,24,1,22,7,4,1,1000,0,2,0,39000,50.5,0,47,0,12,10.75,10.75,0,1
0,4,999,0,1,35,4,4,1,99999999,2,0,0,17,3,1,1,5,47,0,37,7,9,0,600,0,2,0,8000,34.5,1,42,0,12,10.5,10.5,0,1
0,2,988,1,1,2,4,3,1,99999999,7,1,0,15,14,5,0,4,59,1,22,8,3,0,1200,0,2,0,14000,50.5,1,27,0,18,10.45,10.45,0,1
0,1,535,0,1,7,4,3,1,99999999,6,1,0,17,22,7,1,6,35,0,37,9,2,0,1000,0,2,1,6000,44,0,22,0,12,11.25,11.25,1,0
0,4,999,0,1,7,4,6,1,99999999,2,0,0,13,21,7,1,4,48,1,22,7,6,1,2500,0,2,0,52000,50.5,1,57,0,9,11.2,11.2,0,0
8,1,462,0,1,2,1,3,22,99999999,6,0,0,13,30,10,1,4,24,1,70,5,3,1,500,0,2,0,7000,14.5,0,42,0,9,10.75,10.75,0,1
3,3,933,0,1,2,1,5,21,99999999,6,0,0,18,21,7,1,4,59,0,22,9,4,0,1400,0,2,1,7000,34.5,0,17,0,12,10.45,10.45,1,0
4,3,535,0,1,12,1,4,23,99999999,6,0,0,17,22,7,1,4,35,0,37,7,6,0,1800,1,2,1,6000,50.5,0,22,0,12,11.25,11.25,1,0
0,2,999,0,1,12,4,3,1,2000,6,0,1,5,19,7,1,4,24,0,22,7,4,1,600,0,2,0,24000,44,0,57,0,13,10.75,10.75,1,0
3,1,535,0,1,2,1,3,2,77000,1,1,0,18,8,2,1,4,35,1,22,9,3,1,1800,0,2,0,11000,50.5,0,67,0,18,11.25,11.25,0,1
0,2,462,0,1,12,4,2,1,8000,2,0,1,7,7,2,1,6,24,1,22,6,4,0,800,0,2,0,45000,44,0,57,0,12,10.75,10.75,0,0
0,2,999,0,1,2,2,4,1,4000,2,1,0,8,7,2,1,4,48,1,7,7,3,0,1600,0,2,0,32000,50.5,0,47,0,9,11.2,11.2,0,1
0,3,555,0,1,17,4,5,1,3000,2,1,0,5,30,10,1,6,35,1,22,6,7,0,1300,0,2,0,1000,5,0,32,0,12,11.25,11.25,0,1
9,2,535,0,1,17,1,3,21,99999999,6,0,0,15,8,2,1,4,35,0,70,7,3,0,800,0,2,1,6000,24.5,0,42,0,15,11.25,11.25,1,1
0,5,825,0,1,35,4,6,1,9000,2,1,0,4,27,8,1,7,48,1,7,6,9,1,2700,0,2,0,51000,44,0,52,0,9,11.2,11.2,0,1
