ID,Aboriginal,Age,Major field of study,Years of Education,Provincial Minimum Wage,Census Metropolitan Area,Part Time Job,Generation Status,Married,Industry Sectors,Occupation Major Groups,Occupation Broad Categories,Sex,Visible Minority,Wages
218995,0,47,0,18,11.2,835,0,1,1,8,6,2,1,1,2000
671467,0,37,0,14,10.45,933,0,3,1,13,21,7,0,0,28000
112607,0,27,1,13,10.75,462,0,2,1,12,10,3,1,1,36000
153693,0,52,0,14,11.25,535,0,1,1,10,5,2,1,1,80000
468158,0,42,0,9,11.25,535,1,2,1,7,22,7,0,0,11000
133486,0,37,0,14,11.2,999,0,4,1,4,6,2,0,0,37000
185409,0,32,0,12,10.45,933,0,1,1,4,24,8,1,1,31000
727036,0,27,1,17,11.25,535,0,2,1,15,12,4,1,1,66000
847281,0,27,0,16,11.25,537,0,4,1,12,10,3,0,0,33000
730143,0,22,0,14,11.25,539,1,3,1,7,22,7,0,0,2000
791677,0,37,0,18,10.75,462,0,4,1,16,6,2,0,0,38000
609534,0,22,0,12,11.2,999,1,4,0,17,21,7,0,0,33000
347043,0,37,0,18,10.45,933,1,1,1,17,22,7,0,1,1
868986,1,67,0,13,11.2,999,0,4,0,7,88,88,0,0,32000
164022,0,52,0,9,11.0,999,1,1,1,17,21,7,0,0,1
562874,0,22,0,14,11.25,535,0,3,0,6,18,7,0,0,6000
209117,0,47,0,16,10.75,421,0,4,1,6,6,2,0,0,53000
671289,0,47,0,12,10.75,421,0,4,1,14,7,2,1,0,39000
619211,1,42,0,12,10.5,999,0,4,1,17,3,1,0,0,8000
490490,1,27,0,18,10.45,988,0,4,1,15,14,5,0,0,14000
192531,0,22,0,12,11.25,535,1,4,0,17,22,7,0,1,6000
12700,1,57,0,9,11.2,999,0,4,0,13,21,7,1,0,52000
555718,0,42,0,9,10.75,462,0,1,1,13,30,10,1,0,7000
209465,0,17,0,12,10.45,933,1,1,0,18,21,7,0,1,7000
438648,0,22,0,12,11.25,535,1,1,0,17,22,7,0,1,6000
858538,0,57,0,13,10.75,999,1,4,0,5,19,7,1,0,24000
589001,0,67,0,18,11.25,535,0,1,1,18,8,2,1,0,11000
78404,0,57,0,12,10.75,462,0,4,0,7,7,2,0,0,45000
692023,0,47,0,9,11.2,999,0,2,1,8,7,2,0,0,32000
183773,0,32,0,12,11.25,555,0,4,1,5,30,10,0,0,1000
367652,0,42,0,15,11.25,535,1,1,1,15,8,2,0,1,6000
436466,0,52,0,9,11.2,825,0,4,1,4,27,8,1,0,51000
136888,1,37,0,9,11.0,999,1,4,0,14,88,88,0,0,19000
595730,0,32,1,18,11.25,535,0,4,1,19,14,5,1,0,85000
523678,0,37,0,13,10.75,462,0,4,1,15,12,4,0,0,31000
194602,0,52,0,12,10.45,999,0,1,1,15,6,2,0,0,34000
579089,0,22,0,9,10.75,462,0,1,1,15,15,5,0,1,18000
107412,0,32,0,18,11.0,602,0,3,1,19,14,5,1,0,53000
407715,0,42,1,18,11.25,535,0,1,1,5,9,3,0,0,100000
149271,0,27,0,9,10.75,462,0,4,1,13,30,10,1,0,20000
450335,0,32,0,14,10.75,462,1,4,1,4,24,8,1,0,18000
426888,0,42,0,12,11.2,825,1,1,1,17,21,7,0,1,24000
204175,0,27,0,18,11.25,535,0,1,1,12,2,1,0,1,10000
276949,0,47,0,12,10.75,462,0,4,1,7,3,1,0,0,48000
908847,0,47,0,12,11.25,577,0,4,0,15,12,4,0,0,43000
632998,0,22,1,16,11.25,505,0,4,1,14,23,7,1,0,36000
626206,0,52,0,12,11.25,999,1,4,1,12,20,7,0,0,13000
34140,0,27,0,12,10.5,999,0,3,1,17,21,7,0,0,16000
461267,0,62,0,12,10.7,999,0,4,1,15,12,4,1,0,37000
281429,0,47,0,14,10.75,421,0,4,0,14,6,2,0,0,48000
383091,0,42,0,9,10.75,421,0,4,1,18,19,7,1,0,24000
219779,0,32,0,12,11.25,535,0,4,1,10,5,2,1,0,130000
812335,0,37,0,13,10.75,462,1,4,1,13,21,7,1,0,21000
548879,0,37,0,18,11.25,535,1,1,1,14,13,5,0,1,20000
552361,1,27,0,12,10.45,999,0,4,0,16,28,9,1,0,22000
868084,0,47,0,12,11.0,602,0,4,1,11,23,7,0,0,15000
411468,0,42,0,14,10.75,462,0,4,1,15,15,5,0,0,43000
901180,0,27,0,15,11.25,535,0,1,1,17,19,7,1,1,18000
856164,0,37,1,16,11.2,825,0,1,1,12,9,3,1,0,140000
390885,0,37,1,16,11.25,535,0,1,1,10,6,2,0,1,30000
92973,0,47,0,12,10.45,933,0,1,1,5,29,10,1,1,50000
744724,0,27,0,9,10.45,933,1,4,1,7,20,7,1,0,33000
