Education,Experience,Income
0,0,18000
0,0,23000
0,1,20000
0,1,24000
0,1,22000
0,1,25000
0,2,26000
0,2,24000
0,2,24000
0,2,27000
0,2,32000
0,3,29000
0,3,31000
0,3,33000
0,4,32000
0,4,32000
0,4,30000
0,4,35000
0,5,33000
0,5,34000
0,5,38000
0,5,42000
0,5,32000
0,6,36000
0,6,39000
0,6,37000
0,7,42000
0,7,44000
0,7,40000
0,7,39000
0,8,48000
1,0,22000
1,0,25000
1,0,24000
1,0,28000
1,1,30000
1,1,29000
1,1,32000
1,2,29000
1,2,33000
1,2,36000
1,2,34000
1,2,30000
1,2,35000
1,3,42000
1,3,39000
1,3,38000
1,3,40000
1,3,35000
1,3,38000
1,3,38000
1,3,31000
1,3,37000
1,4,38000
1,4,46000
1,4,42000
1,4,39000
1,4,40000
1,4,41000
1,4,38000
1,5,36000
1,5,47000
1,5,45000
1,6,47000
1,6,49000
1,7,48000
1,8,52000
1,8,51000
1,9,53000
1,9,55000
1,10,58000
1,10,62000
1,10,54000
1,11,58000
1,11,59000
1,12,66000
1,12,60000
1,12,59000
1,13,59000
1,14,66000
1,14,64000
1,15,71000
1,19,69000
2,0,23000
2,0,22000
2,0,25000
2,0,27000
2,1,25000
2,1,29000
2,1,30000
2,1,33000
2,1,31000
2,1,29000
2,1,35000
2,1,32000
2,2,32000
2,2,30000
2,2,28000
2,2,34000
2,2,35000
2,2,32000
2,2,33000
2,2,36000
2,2,31000
2,3,33000
2,3,30000
2,3,35000
2,3,40000
2,3,34000
2,3,36000
2,3,39000
2,4,39000
2,4,48000
2,4,44000
2,4,42000
2,4,49000
2,4,42000
2,5,43000
2,5,42000
2,5,48000
2,5,51000
2,5,48000
2,6,55000
2,6,50000
2,6,49000
2,6,51000
2,6,53000
2,6,52000
2,7,49000
2,7,51000
2,7,59000
2,7,54000
2,7,55000
2,7,54000
2,7,47000
2,7,60000
2,8,57000
2,8,55000
2,8,58000
2,8,52000
2,8,62000
2,8,59000
2,9,66000
2,9,63000
2,9,59000
2,9,63000
2,10,64000
2,10,59000
2,10,67000
2,10,64000
2,11,60000
2,11,64000
2,11,67000
2,11,67000
2,11,69000
2,12,69000
2,12,64000
2,12,71000
2,12,78000
2,12,68000
2,13,76000
2,13,89000
2,14,83000
2,14,85000
2,16,93000
3,0,27000
3,0,25000
3,0,26000
3,1,24000
3,1,29000
3,1,28000
3,1,32000
3,1,33000
3,1,30000
3,1,34000
3,2,34000
3,2,32000
3,2,33000
3,2,34000
3,2,39000
3,2,29000
3,2,34000
3,3,33000
3,3,30000
3,3,39000
3,4,38000
3,4,42000
3,4,39000
3,4,35000
3,4,44000
3,5,41000
3,5,48000
3,5,45000
3,6,44000
3,6,51000
3,6,49000
3,6,50000
3,6,48000
3,6,49000
3,6,42000
3,7,58000
3,7,53000
3,7,49000
3,7,49000
3,7,55000
3,7,53000
3,7,44000
3,7,64000
3,7,57000
3,7,56000
3,7,59000
3,7,49000
3,7,63000
3,8,61000
3,8,60000
3,8,58000
3,8,69000
3,8,66000
3,9,69000
3,10,85000
3,10,74000
3,10,77000
3,10,76000
3,10,72000
3,10,74000
3,11,72000
3,11,79000
3,12,77000
3,12,74000
3,13,72000
3,14,84000
3,14,79000
3,14,83000
3,14,78000
3,15,78000
3,16,83000
3,16,90000
3,17,88000
3,19,94000
3,20,91000
3,21,88000
3,21,117000
3,23,98000
3,23,93000
4,0,37000
4,0,34000
4,0,37000
4,0,39000
4,0,42000
4,0,36000
4,0,41000
4,0,40000
4,0,54000
4,1,48000
4,1,46000
4,1,39000
4,1,55000
4,1,58000
4,1,49000
4,1,53000
4,1,50000
4,1,46000
4,1,59000
4,1,42000
4,1,56000
4,1,44000
4,1,57000
4,1,53000
4,1,58000
4,1,48000
4,1,44000
4,1,55000
4,1,49000
4,1,67000
4,1,53000
4,1,64000
4,1,51000
4,2,49000
4,2,51000
4,2,55000
4,2,53000
4,2,49000
4,2,58000
4,2,55000
4,2,51000
4,2,65000
4,2,60000
4,2,46000
4,2,53000
4,2,66000
4,2,62000
4,2,58000
